student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,study_category,final_grade_num
22,Male,3.3,100,7.8,unknown,Yes,Yes,No,83.9,100,A,Average (3-6 H),4
23,Female,3.7,81.8,7.8,High School,No,No,No,74.8,73.4,C,Average (3-6 H),2
24,Female,4.3,82.5,5.4,PhD,No,Yes,No,61,71.2,C,Average (3-6 H),2
25,Female,4.6,98.3,7.8,unknown,Yes,Yes,Yes,66.6,97.2,A,Average (3-6 H),4
26,Female,1.8,90.6,8.6,High School,Yes,No,No,53.2,76,C,Low (0-3 H),2
27,Female,1.2,89.6,5.5,Masters,Yes,No,Yes,68.7,78.7,C,Low (0-3 H),2
28,Female,5.4,100,5.7,High School,No,No,No,83.3,97.4,A,Average (3-6 H),4
29,Female,4,78.6,8,Bachelors,Yes,No,No,78.2,84.2,B,Average (3-6 H),3
30,Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8,B,Low (0-3 H),3
31,Male,5.8,85.6,7.5,Bachelors,Yes,No,Yes,66.4,82.4,B,Average (3-6 H),3
32,Male,3.7,87.7,7.2,unknown,Yes,Yes,No,86.2,87.7,B,Average (3-6 H),3
33,Female,5.3,100,7.3,Masters,Yes,Yes,No,67.7,100,A,Average (3-6 H),4
34,Female,3.6,90.1,5.2,Bachelors,No,Yes,No,87.7,93.3,A,Average (3-6 H),4
35,Female,6.6,90.4,8.1,Masters,Yes,Yes,Yes,69.7,100,A,Good (6-9 H),4
36,Male,6.1,95.7,8.2,unknown,Yes,Yes,Yes,78.5,92.9,A,Good (6-9 H),4
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B,Average (3-6 H),3
38,Male,5,76.6,6.7,unknown,Yes,Yes,No,67.7,81.1,B,Average (3-6 H),3
39,Male,4.5,74.6,5,High School,Yes,Yes,Yes,72.6,89.5,B,Average (3-6 H),3
40,Male,5.6,65.3,7.4,Masters,Yes,Yes,No,85.5,91.6,A,Average (3-6 H),4
41,Male,2.1,100,7.5,High School,Yes,Yes,Yes,68.4,75.3,C,Low (0-3 H),2
42,Male,4.5,74,6.7,High School,Yes,No,No,54.1,79,C,Average (3-6 H),2
43,Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100,A,Average (3-6 H),4
44,Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4,79.2,C,Low (0-3 H),2
45,Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8,C,Low (0-3 H),2
46,Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8,D,Low (0-3 H),1
47,Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68,D,Average (3-6 H),1
48,Male,4.6,79.2,6.6,unknown,Yes,Yes,Yes,57.9,80.3,B,Average (3-6 H),3
49,Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73,88.6,B,Average (3-6 H),3
50,Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5,69.4,D,Average (3-6 H),1
51,Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5,100,A,Average (3-6 H),4
52,Female,1.4,100,7.8,High School,No,No,No,72.9,81.8,B,Low (0-3 H),3
53,Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6,C,Low (0-3 H),2
54,Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5,85.3,B,Average (3-6 H),3
55,Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1,99.8,A,Average (3-6 H),4
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B,Average (3-6 H),3
57,Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5,C,Low (0-3 H),2
58,Male,3.4,72,7.6,Bachelors,Yes,No,No,66.9,84.3,B,Average (3-6 H),3
59,Male,1.5,89,6.2,Masters,Yes,No,No,59.4,74.5,C,Low (0-3 H),2
60,Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2,89.5,B,Average (3-6 H),3
61,Male,4,79.7,7.2,Masters,Yes,Yes,No,67.4,80.4,B,Average (3-6 H),3
62,Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9,71.1,C,Low (0-3 H),2
63,Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8,B,Low (0-3 H),3
64,Male,1.9,85.2,6,unknown,Yes,No,No,62.5,73,C,Low (0-3 H),2
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B,Average (3-6 H),3
66,Female,4.9,100,5.8,Bachelors,Yes,No,No,85.9,97.4,A,Average (3-6 H),4
67,Female,2,87.4,6.7,High School,Yes,Yes,No,63.9,67.8,D,Low (0-3 H),1
68,Male,4.3,100,5.9,Bachelors,No,Yes,No,62.7,79.2,C,Average (3-6 H),2
69,Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5,C,Low (0-3 H),2
70,Female,2.3,67.4,8.6,High School,Yes,No,No,90.9,85.1,B,Low (0-3 H),3
71,Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5,79.6,C,Average (3-6 H),2
72,Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4,C,Low (0-3 H),2
73,Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81,94.6,A,Low (0-3 H),4
74,Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1,77.6,C,Low (0-3 H),2
75,Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3,99.9,A,Good (6-9 H),4
76,Female,3.6,72.8,7.7,Masters,No,No,No,49.6,64.4,D,Average (3-6 H),1
77,Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3,71.9,C,Low (0-3 H),2
78,Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3,C,Average (3-6 H),2
79,Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9,C,Average (3-6 H),2
80,Female,3.2,90.9,7.9,High School,Yes,No,No,72.4,87.4,B,Average (3-6 H),3
81,Male,4.4,100,5.9,High School,Yes,No,No,78.2,97.6,A,Average (3-6 H),4
82,Female,4.6,88.9,6.8,Bachelors,Yes,Yes,No,81.6,74.5,C,Average (3-6 H),2
83,Male,2.7,73,7.6,High School,Yes,No,Yes,55.3,64.1,D,Low (0-3 H),1
84,Female,2.6,89.4,6.5,Bachelors,Yes,No,No,96.4,90,A,Low (0-3 H),4
85,Male,3.1,97,8.1,Bachelors,Yes,Yes,Yes,79.2,99.3,A,Average (3-6 H),4
86,Male,0.5,78.9,9.6,Bachelors,Yes,Yes,Yes,70,63.9,D,Low (0-3 H),1
87,Female,1.2,83.7,5.9,Bachelors,Yes,No,No,83.1,79,C,Low (0-3 H),2
88,Male,5.6,85.1,5.1,Masters,Yes,No,No,98.4,100,A,Average (3-6 H),4
89,Female,6,77.2,7.2,High School,Yes,No,No,52.7,78.9,C,Average (3-6 H),2
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5,B,Average (3-6 H),3
91,Female,4.4,83.8,6.5,High School,Yes,No,No,41.5,71.7,C,Average (3-6 H),2
92,Female,4,89.2,8.5,High School,Yes,Yes,Yes,72.3,86.3,B,Average (3-6 H),3
93,Female,8.1,76.1,5.2,Bachelors,Yes,Yes,No,74.4,98.3,A,Good (6-9 H),4
94,Female,5.2,80.6,7.6,Bachelors,Yes,Yes,No,69.5,88.1,B,Average (3-6 H),3
95,Female,3.3,92.2,6.1,PhD,Yes,Yes,No,62.1,99.6,A,Average (3-6 H),4
96,Female,2.1,81.3,8.9,Bachelors,Yes,No,No,45.4,74.8,C,Low (0-3 H),2
97,Female,1.1,100,9.2,unknown,Yes,No,Yes,74.5,87.4,B,Low (0-3 H),3
98,Female,3.8,81,5.9,High School,No,No,No,87.5,88.5,B,Average (3-6 H),3
99,Female,2.4,87.2,6.1,High School,Yes,Yes,Yes,62.9,65.2,D,Low (0-3 H),1
100,Male,1.4,94.3,7.8,High School,No,No,No,75.3,79.2,C,Low (0-3 H),2
101,Male,2.5,70.8,6.3,High School,Yes,Yes,No,51.2,74.5,C,Low (0-3 H),2
102,Female,1.9,67.4,6.7,Bachelors,Yes,Yes,Yes,75.5,66.3,D,Low (0-3 H),1
103,Female,6,69.7,6.8,Bachelors,No,No,No,65.3,89.5,B,Average (3-6 H),3
104,Female,4.8,97.6,4.5,High School,Yes,No,No,60.9,92.7,A,Average (3-6 H),4
105,Female,3.5,79.5,6.8,unknown,Yes,No,Yes,60.9,87.2,B,Average (3-6 H),3
106,Female,5.7,100,6,Masters,Yes,Yes,Yes,65.3,92.5,A,Average (3-6 H),4
107,Female,3.6,79.4,6.2,High School,Yes,Yes,Yes,74.6,75.7,C,Average (3-6 H),2
108,Female,2.2,86.8,8.5,High School,Yes,Yes,No,54.3,74,C,Low (0-3 H),2
109,Female,5.8,100,5.3,High School,Yes,Yes,No,65.2,100,A,Average (3-6 H),4
110,Male,4.3,100,7.8,High School,No,No,Yes,69.5,75.5,C,Average (3-6 H),2
111,Female,1.9,100,6.5,High School,Yes,No,Yes,56.8,61.7,D,Low (0-3 H),1
112,Male,3.2,97.1,6.5,Bachelors,No,No,No,91.6,91.4,A,Average (3-6 H),4
113,Female,2.2,95.2,7.7,High School,No,Yes,No,59.8,72.7,C,Low (0-3 H),2
114,Female,1.4,90.9,7.2,Bachelors,Yes,No,No,62,74.6,C,Low (0-3 H),2
115,Male,4.9,92.8,7.5,unknown,Yes,Yes,No,58.3,96.5,A,Average (3-6 H),4
116,Female,6.4,79.5,8,Masters,No,No,Yes,91.6,94.5,A,Good (6-9 H),4
117,Male,1.4,76.8,6.4,unknown,No,Yes,No,76.6,59.3,F,Low (0-3 H),0
118,Female,4.3,85,6.1,High School,Yes,Yes,No,58.8,96.2,A,Average (3-6 H),4
119,Female,2.5,83.3,5.5,Bachelors,Yes,Yes,Yes,83.3,75.3,C,Low (0-3 H),2
120,Male,2.8,80.5,5.8,Bachelors,Yes,No,No,72.4,73.3,C,Low (0-3 H),2
121,Female,2.6,92,10,High School,Yes,Yes,No,73.1,95.8,A,Low (0-3 H),4
122,Male,2.2,94.6,8.3,High School,Yes,Yes,No,65.9,81,B,Low (0-3 H),3
123,Female,3.6,85.9,5.2,Masters,Yes,No,Yes,61,76.5,C,Average (3-6 H),2
124,Male,2.3,99.8,5.2,Bachelors,Yes,Yes,No,74.1,88.1,B,Low (0-3 H),3
125,Male,3.9,73.6,7.4,Bachelors,Yes,Yes,No,63.5,88.1,B,Average (3-6 H),3
126,Female,3.4,83.1,7.5,Bachelors,Yes,Yes,No,91.8,92.1,A,Average (3-6 H),4
127,Female,3.1,77.8,7.5,Bachelors,Yes,Yes,No,54.8,85.2,B,Average (3-6 H),3
128,Male,2.1,66.3,6.5,High School,Yes,No,Yes,88.4,63,D,Low (0-3 H),1
129,Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7,81.1,B,Low (0-3 H),3
130,Female,4.6,83.8,7.2,High School,Yes,Yes,No,73.6,87.1,B,Average (3-6 H),3
131,Female,4.3,100,6.9,High School,Yes,No,Yes,80,100,A,Average (3-6 H),4
132,Male,2,91.3,4.1,unknown,Yes,Yes,No,62.4,75.7,C,Low (0-3 H),2
133,Male,3.6,74.8,6.5,Bachelors,No,Yes,No,80.4,77.3,C,Average (3-6 H),2
134,Male,4.6,100,5.8,Masters,Yes,Yes,No,37.5,85.6,B,Average (3-6 H),3
135,Male,1,97.2,7,High School,Yes,Yes,No,61.4,80.8,B,Low (0-3 H),3
136,Male,4.3,90.8,10,Bachelors,Yes,Yes,No,58.9,94.5,A,Average (3-6 H),4
137,Male,2.5,82.7,7.2,High School,No,No,Yes,55,59.7,F,Low (0-3 H),0
138,Male,4.4,75.4,6.4,High School,Yes,No,No,67.4,80.9,B,Average (3-6 H),3
139,Male,2.4,81.3,7.9,High School,Yes,Yes,No,74.6,82.6,B,Low (0-3 H),3
140,Male,0.8,95.9,7.4,Masters,Yes,No,No,78.4,80.2,B,Low (0-3 H),3
141,Female,1.1,100,7.3,Masters,Yes,No,Yes,72.9,82.4,B,Low (0-3 H),3
142,Male,3.6,100,7.5,Bachelors,Yes,No,No,62,75.9,C,Average (3-6 H),2
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5,B,Average (3-6 H),3
144,Female,2.1,73.8,5.4,unknown,Yes,Yes,Yes,71.5,69.6,D,Low (0-3 H),1
145,Female,4.5,86.4,7.4,High School,Yes,No,Yes,81.2,86.8,B,Average (3-6 H),3
146,Male,1,67.3,5.7,High School,Yes,No,No,79.3,65.2,D,Low (0-3 H),1
147,Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4,82,B,Average (3-6 H),3
148,Male,1.7,83.5,5.7,Masters,Yes,Yes,Yes,59.2,46.8,F,Low (0-3 H),0
149,Male,2.5,80.3,6.3,unknown,Yes,Yes,Yes,62.2,68.6,D,Low (0-3 H),1
150,Female,3.6,69.1,6.4,High School,Yes,Yes,Yes,63.4,69.2,D,Average (3-6 H),1
151,Male,2.2,90.1,8,PhD,Yes,Yes,No,66.2,84.7,B,Low (0-3 H),3
152,Male,2.9,79.7,7.9,Masters,Yes,Yes,Yes,73.2,75.9,C,Low (0-3 H),2
153,Male,5,73.3,5.3,High School,Yes,No,Yes,78.6,84.7,B,Average (3-6 H),3
154,Male,2.6,56.3,6.9,Bachelors,No,Yes,No,69.4,75.7,C,Low (0-3 H),2
155,Male,4.8,84.7,5.9,Bachelors,Yes,No,No,70.2,95.4,A,Average (3-6 H),4
156,Female,1.8,100,5.3,unknown,Yes,Yes,No,71.7,87.6,B,Low (0-3 H),3
157,Male,4.3,100,6.5,High School,Yes,No,No,63.8,87.7,B,Average (3-6 H),3
158,Female,5.7,80.4,6.4,Masters,Yes,Yes,Yes,58.9,89.3,B,Average (3-6 H),3
159,Male,0.5,79,9.7,High School,Yes,Yes,No,48.9,63.7,D,Low (0-3 H),1
160,Female,2.3,89.7,7.3,Masters,Yes,No,Yes,61.7,74,C,Low (0-3 H),2
161,Male,4.4,75,5.1,Bachelors,Yes,No,No,75.7,87.9,B,Average (3-6 H),3
162,Male,3.2,88,6.1,Bachelors,Yes,No,No,61.6,76.6,C,Average (3-6 H),2
163,Female,4.1,92.7,8,Masters,Yes,Yes,Yes,67.1,97.3,A,Average (3-6 H),4
164,Female,2.6,97.3,9.3,Masters,Yes,Yes,No,75.6,90.2,A,Low (0-3 H),4
165,Female,3.6,84,4.9,PhD,Yes,No,No,76.2,88.7,B,Average (3-6 H),3
166,Male,3.3,83,4.5,High School,Yes,Yes,No,57,84.8,B,Average (3-6 H),3
167,Female,5.3,76.2,9,Masters,Yes,No,No,82,100,A,Average (3-6 H),4
168,Male,3.9,76.7,7.3,High School,Yes,Yes,No,83.5,82.1,B,Average (3-6 H),3
169,Male,4,82.7,5.8,Bachelors,No,Yes,Yes,56.4,75.1,C,Average (3-6 H),2
170,Female,2.9,88.7,7.4,Bachelors,No,Yes,Yes,60.1,78.1,C,Low (0-3 H),2
171,Female,2.8,94.1,3.6,Bachelors,Yes,Yes,No,84.3,92.9,A,Low (0-3 H),4
172,Male,2.9,77,6.8,Bachelors,Yes,No,No,68.2,71.8,C,Low (0-3 H),2
173,Male,4.1,99.9,7.2,unknown,Yes,No,No,43.4,78.5,C,Average (3-6 H),2
174,Female,2.9,82.3,7.9,High School,Yes,Yes,No,53.2,82.6,B,Low (0-3 H),3
175,Female,3.9,84.8,5.6,Masters,Yes,No,No,67,79.2,C,Average (3-6 H),2
176,Female,6.6,77.5,6.9,Bachelors,Yes,Yes,No,56,89.7,B,Good (6-9 H),3
177,Male,4.8,60.8,5.7,High School,Yes,Yes,No,65,89.2,B,Average (3-6 H),3
178,Male,3,93.8,7.1,High School,No,Yes,No,70.4,81.7,B,Low (0-3 H),3
179,Male,5.3,92.4,5.7,unknown,Yes,No,No,87.5,96.7,A,Average (3-6 H),4
180,Male,2.9,82.2,6.3,PhD,Yes,No,No,66.5,73.7,C,Low (0-3 H),2
181,Male,0.5,85.7,5.6,unknown,Yes,No,No,82.9,77.1,C,Low (0-3 H),2
182,Male,2,90.2,7.6,unknown,Yes,No,Yes,87.1,76.5,C,Low (0-3 H),2
183,Female,0.7,69.4,7.8,High School,Yes,No,No,87.2,73.2,C,Low (0-3 H),2
184,Male,3,79.7,6.5,Bachelors,Yes,No,No,73.4,83.6,B,Low (0-3 H),3
185,Male,3.5,92.9,6.8,Masters,Yes,No,No,46.4,85.8,B,Average (3-6 H),3
186,Male,6,72.5,5.1,Bachelors,Yes,No,No,75.5,95.7,A,Average (3-6 H),4
187,Female,4,87.9,6.4,Bachelors,Yes,Yes,No,82.6,89.2,B,Average (3-6 H),3
188,Male,3.2,71.4,6.7,Bachelors,Yes,Yes,Yes,69,83.1,B,Average (3-6 H),3
189,Male,4.7,89.7,9.9,Bachelors,Yes,Yes,No,90.9,100,A,Average (3-6 H),4
190,Female,0.5,84.6,5.5,Bachelors,Yes,Yes,No,80.3,67.2,D,Low (0-3 H),1
191,Male,3.9,68.8,8.6,High School,Yes,No,No,76.8,84.6,B,Average (3-6 H),3
192,Male,4.7,96.6,8,Bachelors,Yes,Yes,Yes,83,100,A,Average (3-6 H),4
193,Male,1.3,77.7,7.1,Bachelors,Yes,No,No,74,75.2,C,Low (0-3 H),2
194,Male,5.2,76.9,8.9,Bachelors,Yes,Yes,No,40.1,81.1,B,Average (3-6 H),3
195,Male,4,87,7.2,High School,Yes,Yes,No,64,96.5,A,Average (3-6 H),4
196,Female,2.9,96.5,7.3,Masters,No,Yes,No,84.4,79.8,C,Low (0-3 H),2
197,Female,4.4,74.8,6.7,High School,Yes,No,No,60.3,73.4,C,Average (3-6 H),2
198,Female,6.9,85.6,8.3,Bachelors,Yes,Yes,No,67.3,92.2,A,Good (6-9 H),4
199,Male,3.8,89.3,8.1,Masters,Yes,Yes,No,57.5,87.3,B,Average (3-6 H),3
200,Male,3.9,91.9,6,Bachelors,No,No,No,91.4,92.5,A,Average (3-6 H),4
201,Male,2.8,86.8,5.2,High School,Yes,No,Yes,90.2,94.6,A,Low (0-3 H),4
202,Female,2.2,81.3,6.6,Masters,Yes,Yes,No,59.4,75.5,C,Low (0-3 H),2
203,Male,4.7,76.7,5.8,Bachelors,Yes,Yes,No,71.8,85.3,B,Average (3-6 H),3
204,Male,2.2,85.9,6.7,Masters,Yes,Yes,No,61.8,76.7,C,Low (0-3 H),2
205,Female,3.6,74.3,8.3,Masters,Yes,No,No,77.4,86.8,B,Average (3-6 H),3
206,Male,2.8,55.8,6.3,Bachelors,Yes,Yes,Yes,76.1,61.1,D,Low (0-3 H),1
207,Female,4.2,89.4,6.7,Bachelors,Yes,Yes,Yes,79.7,100,A,Average (3-6 H),4
208,Female,4,94,6.9,High School,No,Yes,No,74,90.9,A,Average (3-6 H),4
209,Female,5.1,61.4,7.8,High School,Yes,Yes,Yes,100,96.1,A,Average (3-6 H),4
210,Male,2.7,74.9,4.1,Bachelors,Yes,No,No,57.7,73.1,C,Low (0-3 H),2
211,Male,3.1,91.2,6.1,Bachelors,Yes,Yes,No,49.5,81.2,B,Average (3-6 H),3
212,Male,2,100,7.1,Bachelors,Yes,Yes,No,65.3,81.8,B,Low (0-3 H),3
213,Male,2.8,85.2,8.2,High School,Yes,Yes,Yes,51.2,70,C,Low (0-3 H),2
214,Male,4.1,77.7,6.2,High School,Yes,Yes,Yes,52.1,78.5,C,Average (3-6 H),2
215,Male,4.6,83.2,4.5,Bachelors,Yes,Yes,No,58,84.7,B,Average (3-6 H),3
216,Male,2.1,98.7,7.5,High School,Yes,No,No,58.9,74.7,C,Low (0-3 H),2
217,Female,4.8,78.5,6,Masters,Yes,No,No,58.5,91.2,A,Average (3-6 H),4
218,Male,5.5,77,5.4,High School,Yes,No,No,76.2,93.4,A,Average (3-6 H),4
219,Female,4.1,80.2,6.1,Bachelors,Yes,No,No,63.9,86.8,B,Average (3-6 H),3
220,Male,6.3,75.5,6.6,unknown,Yes,No,No,67.8,100,A,Good (6-9 H),4
221,Male,2.3,86.2,6.1,High School,Yes,Yes,No,80.7,84.3,B,Low (0-3 H),3
222,Male,1.6,100,4.2,Bachelors,No,No,No,60.8,71.5,C,Low (0-3 H),2
223,Female,0.8,88.2,7.9,High School,No,No,Yes,66.8,70.5,C,Low (0-3 H),2
224,Female,5.7,82.5,8.3,Bachelors,Yes,No,Yes,74.4,89.9,B,Average (3-6 H),3
225,Female,4.5,82.1,7.6,Bachelors,Yes,Yes,No,46.7,81.1,B,Average (3-6 H),3
226,Female,3.4,69.4,5.4,Bachelors,Yes,Yes,No,41.4,67.4,D,Average (3-6 H),1
227,Male,3.9,93.8,6.6,Bachelors,Yes,No,Yes,74.2,82.2,B,Average (3-6 H),3
228,Female,1.8,84.2,6.8,PhD,Yes,No,Yes,75.9,90,A,Low (0-3 H),4
229,Male,7.2,83.2,7.5,High School,Yes,No,No,94.8,100,A,Good (6-9 H),4
230,Male,3.7,100,7.6,High School,Yes,Yes,Yes,71.9,82.7,B,Average (3-6 H),3
231,Female,3.7,88,5.9,PhD,Yes,Yes,No,79.8,98.3,A,Average (3-6 H),4
232,Female,4.6,77.5,6.9,Bachelors,Yes,Yes,No,67.7,91.5,A,Average (3-6 H),4
233,Female,4.2,80.7,7.3,PhD,Yes,No,No,73.6,82.2,B,Average (3-6 H),3
234,Female,3.8,96.5,8.5,Bachelors,Yes,Yes,No,90,100,A,Average (3-6 H),4
235,Female,2.3,86.1,7.6,Masters,Yes,Yes,No,44.5,80.2,B,Low (0-3 H),3
236,Female,4.2,70.6,7.7,Bachelors,Yes,No,No,75,85.7,B,Average (3-6 H),3
237,Female,6.3,94.2,6.9,Masters,Yes,Yes,No,95.6,100,A,Good (6-9 H),4
238,Female,5.5,78.3,8.5,unknown,Yes,No,No,73.4,84.4,B,Average (3-6 H),3
239,Male,5.9,100,7.3,Bachelors,Yes,Yes,No,89.8,100,A,Average (3-6 H),4
240,Female,2.7,95.8,5.8,High School,Yes,No,Yes,62.4,84.6,B,Low (0-3 H),3
241,Female,2,80.5,8.5,High School,Yes,No,Yes,69.6,80.6,B,Low (0-3 H),3
242,Male,3.3,97.8,7.6,High School,Yes,No,Yes,70.4,85.1,B,Average (3-6 H),3
243,Female,3.6,85.7,6.3,High School,Yes,No,Yes,43.4,69.4,D,Average (3-6 H),1
244,Male,5.1,93.5,6.2,High School,Yes,Yes,No,56,92.2,A,Average (3-6 H),4
245,Male,1,89.8,7.2,Bachelors,Yes,Yes,No,56.8,76.2,C,Low (0-3 H),2
246,Female,5.8,76.5,7.4,Bachelors,Yes,Yes,No,79.9,100,A,Average (3-6 H),4
247,Male,3.3,78.6,7,Bachelors,Yes,No,No,80.5,92.2,A,Average (3-6 H),4
248,Male,2.9,95.3,7.2,Bachelors,No,No,No,73.9,76.5,C,Low (0-3 H),2
249,Male,2,81.7,8.8,High School,Yes,Yes,No,79.9,82.7,B,Low (0-3 H),3
250,Male,1,81,8.1,High School,Yes,No,No,68,67.1,D,Low (0-3 H),1
251,Female,4.7,75.4,7,High School,Yes,Yes,Yes,84.4,88.4,B,Average (3-6 H),3
252,Male,3.6,89.2,7.9,Bachelors,Yes,No,Yes,70.1,91,A,Average (3-6 H),4
253,Female,1.6,100,5.6,High School,No,No,No,70.7,75.8,C,Low (0-3 H),2
254,Male,1.6,74.3,7.3,High School,Yes,Yes,No,66.8,88.3,B,Low (0-3 H),3
255,Male,3,85.2,9,Bachelors,Yes,Yes,Yes,78.2,87.6,B,Low (0-3 H),3
256,Male,6,99.1,6.5,Masters,Yes,Yes,Yes,64.9,96.8,A,Average (3-6 H),4
257,Male,3.1,84.2,5.8,High School,Yes,No,No,81.7,86.7,B,Average (3-6 H),3
258,Female,1.2,89.5,6,Bachelors,Yes,Yes,Yes,56.4,63.7,D,Low (0-3 H),1
259,Female,3.1,74.4,5.5,Masters,Yes,Yes,No,56.8,73,C,Average (3-6 H),2
260,Male,3.1,89.3,5.9,Masters,Yes,Yes,No,78.2,94.3,A,Average (3-6 H),4
261,Male,0.5,83.1,6.4,unknown,Yes,Yes,No,68.9,71.3,C,Low (0-3 H),2
262,Female,3.4,94.9,5.1,High School,Yes,Yes,No,64.6,79.7,C,Average (3-6 H),2
263,Male,3.2,96.9,6.8,High School,No,No,No,80.7,81.2,B,Average (3-6 H),3
264,Male,4.5,100,7.9,PhD,Yes,Yes,No,62.7,91.1,A,Average (3-6 H),4
265,Male,6.3,90.8,5.7,Bachelors,Yes,No,No,67.6,97.5,A,Good (6-9 H),4
266,Female,5.2,88.3,8.6,Bachelors,Yes,No,No,86.8,100,A,Average (3-6 H),4
267,Female,3.1,86.9,7.4,Masters,Yes,Yes,Yes,88.5,81.6,B,Average (3-6 H),3
268,Female,1.8,81.5,8,Masters,Yes,Yes,No,88.9,83.9,B,Low (0-3 H),3
269,Male,7.4,88.4,6,unknown,Yes,No,No,66.6,100,A,Good (6-9 H),4
270,Male,3.6,82,7.8,unknown,Yes,No,No,84.8,80.2,B,Average (3-6 H),3
271,Female,3.5,86.7,5.5,Masters,Yes,Yes,No,58.6,75.1,C,Average (3-6 H),2
272,Female,3.5,98.2,7.9,High School,No,Yes,No,59.1,78.2,C,Average (3-6 H),2
273,Female,3.8,74.9,7,PhD,Yes,Yes,Yes,41.8,64.7,D,Average (3-6 H),1
